0.01082790374755859472
0.02590678095817566112
524288; -147
1048576; 0
1572864; 183
2097152; 84
2621440; -99
3145728; 59
3670016; 158
4194304; -172
4718592; -89
5242880; -43
5767168; -15
6291456; -4
6815744; 16
7340032; 17
7864320; -133
8388608; 19
8912896; 177
9437184; -159
9961472; 193
10485760; -148
11010048; 27
11534336; -202
12058624; 110
12582912; 95
13107200; 78
13631488; 51
14155776; 49
14680064; 55
15204352; 40
15728640; 26
16252928; -157
16777216; 191
17301504; -179
17825792; 171
18350080; -19
18874368; 38
19398656; 41
19922944; 47
20447232; 40
20971520; 38
21495808; -7
22020096; 33
22544384; 32
23068672; 39
23592960; 74
24117248; 27
24641536; 46
25165824; 38
25690112; 41
26214400; 58
26738688; 88
27262976; 9
27787264; 5
28311552; 16
28835840; 44
29360128; 67
29884416; 39
30408704; 28
30932992; 35
31457280; 38
31981568; 60
32505856; 28
33030144; 41
33554432; 51

524288; -113
1048576; 12
1572864; 203
2097152; 113
2621440; -81
3145728; 66
3670016; 172
4194304; -150
4718592; -172
5242880; -155
5767168; -54
6291456; -4
6815744; -29
7340032; -43
7864320; 109
8388608; -179
8912896; -4
9437184; 97
9961472; -201
10485760; 132
11010048; 111
11534336; -79
12058624; -197
12582912; 153
13107200; 118
13631488; 71
14155776; 49
14680064; 22
15204352; 182
15728640; 147
16252928; 165
16777216; -51
17301504; 17
17825792; 20
18350080; 8
18874368; 9
19398656; 11
19922944; 1
20447232; 9
20971520; 6
21495808; 24
22020096; 16
22544384; 15
23068672; 22
23592960; 20
24117248; -8
24641536; -28
25165824; 0
25690112; 2
26214400; -1
26738688; 171
27262976; -198
27787264; 202
28311552; -198
28835840; -175
29360128; -178
29884416; 198
30408704; -203
30932992; -199
31457280; -153
31981568; 176
32505856; -194
33030144; -184
33554432; -179
